Make	Model	Year	Sell Year	Hours	Sold	In Ca	Steel Tracks	Steel & shoes	Thumb	Bucket (s)	Closed Cab	Cond / 5	Power HP	Weight Kg	Price CAD	Pred (ask)	Pred (bid)	Net (ask)	Net (bid)	Percent Error	Url	Deprec / hr	Deprec / year	Deprec / 5y + 3000hr  + 1 cond	
Kub	U55	2018	2022.5	720	1	1			1	1	1	4.5	48	5391	83000	80302	80302	-2698	-2698	-3.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/guelph/kubota-u55-excavator/1621343971	3.774	1846	25706	28404
Kob	SK85CS-3	2015	2022.3	4857	1	1				1	1	4	55	8490	72000	63981	63981	-8019	-8019	-11.1%	https://www.kijiji.ca/v-heavy-equipment-machinery/gatineau/2015-pelle-kobelco-sk85cs-3-a-vendre/1614517565	3.007	1471	20481	28500
WN	3503	2014	2022.3	1059	1	1			1	2	1	3	31	4286	59900	46110	46110	-13790	-13790	-23.0%	https://www.kijiji.ca/v-heavy-equipment-machinery/regina/2014-wacker-neuson-3503-mini-excavator/m519814	2.167	1060	14760	28550
Kub	KX040-4	2018	2022.5	430		1			1	3	1	4	42	4490	88000	82764	75067	-5236	-12933	-6.0%	https://www.kijiji.ca/v-heavy-equipment-machinery/markham-york-region/kubota-kx040-4-new-price-motivated-seller/1622297128?cid=9267c8c9-5f90-4414-a6d7-ea7994397eb1	3.528	1726	24030	29266
Bob	E42	2020	2022.5	694	1				1	1	1	4	43	4205	75022	67236	67236	-7786	-7786	-10.4%	https://www.machinerytrader.com/listing/auction-results/214194189/2020-bobcat-e42-mini-up-to-12000-lbs-excavators	3.160	1546	21523	29309
Kub	U35	2016	2022.4	2700	1	1			1	1	1	5	25	2019	64900	51801	51801	-13099	-13099	-20.2%	https://www.kijiji.ca/v-heavy-equipment-machinery/saint-john/kubota-u35-excavator/1618055168?cid=fd05e9ec-578a-4d19-9fb8-1e9cf91625f6	2.435	1191	16582	29681
Tak	TB260C	2015	2022.4	2766	1	1			1	1	1	4	48	5500	74000	64907	64907	-9093	-9093	-12.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/sudbury/takeuchi-excavator-tb260c-for-sale/1611668751	3.051	1492	20778	29870
Bob	E45	2019	2021	490	1					1	1	4.5	42	4580	70500	59342	59342	-11158	-11158	-15.8%	https://www.machinerytrader.com/listing/auction-results/199430359/2019-bobcat-e45-mini-up-to-12000-lbs-excavators	2.789	1364	18996	30154
Hit	50U	2019	2022.4	20	1	1			1	2	1	5	36	4790	89900	87874	87874	-2026	-2026	-2.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/edmonton/2019-hitachi-50u-excavator-mini-midi-only-20-hours/1615172670	4.130	2020	28129	30156
Hit	ZX85	2011	2022.3	4330		1	1			1	1	4	53	8930	85000	77148	69973	-7852	-15027	-9.2%	https://www.kijiji.ca/v-heavy-equipment-machinery/st-albert/2011-hitachi-zx85-hydraulic-excavator/m3281070	3.289	1609	22399	30251
Kub	KX080-4S	2019	2022.4	1641		1			1	1	1	4	67	8280	104000	103827	94171	-173	-9829	-0.2%	https://www.kijiji.ca/v-farming-equipment/markham-york-region/2019-kubota-kx080-4s-8-0t/1614947878	4.426	2165	30145	30318
Kub	KX161-3	2007	2022.4	4090	1				1	1	1	4	47	5250	61315	44917	44917	-16398	-16398	-26.7%	https://www.machinerytrader.com/listing/auction-results/213641893/2007-kubota-kx161-3-mini-up-to-12000-lbs-excavators	2.111	1033	14378	30777
Kub	KX080-4	2020	2022.6	281		1			1	2	1	4.5	67	8280	119900	125378	113718	5478	-6182	4.6%	https://www.kijiji.ca/v-heavy-equipment-machinery/kamloops/2020-kubota-kx-080-4-excavator/1614117739	5.345	2615	36402	30924
Bob	E35i	2014	2022.3	2510		1	1		1	1	1	4	25	3387	65000	47741	43301	-17259	-21699	-26.6%	https://www.kijiji.ca/v-heavy-equipment-machinery/windsor-area-on/mini-excavator-bobcat-e35-2014/1616732421	2.035	996	13861	31120
Cat	305.5	2015	2022.3	1827	1	1			1	1	1	4	42	5400	78000	68727	68727	-9273	-9273	-11.9%	https://www.kijiji.ca/v-heavy-equipment-machinery/kenora/2015-caterpillar-305-5-ecr-mini-excavator-1825-hrs/1614613239	3.230	1580	22000	31274
Tak	TB280FR	2015	2022.2	1184	1					1	1	4	69	8530	89239	85079	85079	-4160	-4160	-4.7%	https://www.machinerytrader.com/listing/auction-results/211611745/2015-takeuchi-tb280fr-crawler-excavators	3.999	1956	27235	31395
Case	CX 75C SR	2018	2022.4	2091		1		1			1	5	54	7591	103700	100722	91355	-2978	-12345	-2.9%	https://www.kijiji.ca/v-equipement-lourd/laval-rive-nord/2018-case-cx75c-sr/m1942351	4.294	2100	29244	32222
JD	50G	2020	2022.3	17		1			1	1	1	4.5	36	4730	98000	92193	83619	-5807	-14381	-5.9%	https://www.kijiji.ca/v-heavy-equipment-machinery/windsor-area-on/2020-mini-excavator-john-deere-50g/1615127832	3.930	1923	26767	32575
Hit	ZX135-US-3	2011	2022.5	7151		1		1		1	1	4.5	93	13400	112000	111605	101226	-395	-10774	-0.4%	https://www.kijiji.ca/v-heavy-equipment-machinery/parksville-qualicum-beach/hitachi-zx135us-3-excavator/1611733221?cid=e0c7b7cb-922e-418c-a09a-97fcc0659ed2	4.758	2327	32404	32798
