Make	Model	Year	Sell Year	Hours	Sold	In Ca	Steel Tracks	Steel & shoes	Thumb	Bucket (s)	Closed Cab	Cond / 5	Power HP	Weight Kg	Price CAD	Pred (ask)	Pred (bid)	Net (ask)	Net (bid)	Percent Error	Url	Deprec / hr	Deprec / year	Deprec / 5y + 3000hr  + 1 cond	
Cat	308E2 CR 	2014	2022.5	6400		1	1			1	1	4	65	8400	87500	76687	69555	-10813	-17945	-12.4%	https://www.kijiji.ca/v-heavy-equipment-machinery/fredericton/cat-308e2cr-excavator/1621937634	3.269	1599	22265	33079
Cat	308E2 CR 	2017	2022.4	1756		1		1	1	1	1	5	65	8400	117000	117768	106815	768	-10185	0.7%	https://www.kijiji.ca/v-heavy-equipment-machinery/kitchener-waterloo/2017-cat-308cr-e2-excavator-1756-hrs/1616526809?cid=17628a10-c1d4-44d6-828c-7723baf69cd5	5.020	2456	34193	33425
JD	75G	2013	2022.3	4224		1	1			1	1	4.5	57	8143	93700	84849	76958	-8851	-16742	-9.4%	https://www.kijiji.ca/v-equipement-lourd/ville-de-quebec/2013-john-deere-75d/m3492086	3.617	1769	24635	33486
JD	60G	2017	2022.4	889	1	1			1	2	1	4	53	6180	92000	86041	86041	-5959	-5959	-6.5%	https://www.kijiji.ca/v-heavy-equipment-machinery/stratford-on/john-deere-60g/1614009207	4.044	1978	27543	33502
JD	50G	2017	2022.4	380	1	1			1	1	1	4	36	4730	83000	72695	72695	-10305	-10305	-12.4%	https://www.kijiji.ca/v-heavy-equipment-machinery/richmond-bc/john-deere-50g-excavator-380hours-only-mint-condition/1609808012	3.417	1671	23271	33575
Kom	PC78 US-8	2010	2022.4	4046		1		1		1	1	4.5	55	7382	78500	63300	57413	-15200	-21087	-19.4%	https://www.kijiji.ca/v-heavy-equipment-machinery/vernon/komatsu-pc-78-us-8-excavator/1616120900	2.698	1320	18379	33578
Kub	KX57-4	2008	2022.3	6500		1	1		1	1	1	3.5	48	5725	65000	44252	40136	-20748	-24864	-31.9%	https://www.kijiji.ca/v-heavy-equipment-machinery/yarmouth/kubota-kx57-4-6t-mini-excavator/1615228907?cid=37518a63-d6ec-4dcb-88ae-a9a781e5f627	1.886	923	12848	33596
Hit	50U	2022	2022.5	15		1			1	1	1	5	36	4790	105900	101627	92176	-4273	-13724	-4.0%	https://www.kijiji.ca/v-heavy-equipment-machinery/owen-sound/2022-5-ton-hitatchi-excavator/1620802529?cid=59458f96-7550-4573-966b-ea7278d7af7c	4.332	2119	29507	33779
NH	E60C	2017	2022.3	800	1	1			1	1	1	5	65	6000	100000	97312	97312	-2688	-2688	-2.7%	https://www.kijiji.ca/v-heavy-equipment-machinery/city-of-toronto/mini-ex-for-sale/1613921213	4.574	2237	31151	33839
YM	Vio 55A	2018	2022.5	850					1	1		4	48	5386	77622	61361	55654	-16261	-21968	-20.9%	https://www.machinerytrader.com/listing/for-sale/213412693/2018-yanmar-vio55-6a-mini-up-to-12000-lbs-excavators	2.616	1280	17816	34077
Bob	E45	2016	2021.75	589	1				1	1	1	4.5	42	4580	75807	61048	61048	-14759	-14759	-19.5%	https://www.machinerytrader.com/listing/auction-results/207309091/2016-bobcat-e45-mini-up-to-12000-lbs-excavators	2.869	1404	19542	34301
Case	CX 80C	2016	2022	3753	1	1	1		1	1	1	4	55	8527	86000	74468	74468	-11532	-11532	-13.4%	https://www.kijiji.ca/v-heavy-equipment-machinery/ottawa/2016-case-cx80c-excavator/1604957660	3.500	1712	23838	35370
Doos	DX85R	2018	2022.4	1200		1	1		1	1	1	4.5	60	8600	112800	108461	98374	-4339	-14426	-3.8%	https://www.kijiji.ca/v-heavy-equipment-machinery/north-bay/2018-doosan-dx85r-8-ton-excavator-for-sale/1619661203	4.623	2262	31491	35830
Cat	305E CR	2012	2022.4	321	1				1	1	1	5	42	5185	85200	71725	71725	-13475	-13475	-15.8%	https://www.machinerytrader.com/listing/auction-results/214007215/2012-caterpillar-305e-cr-mini-up-to-12000-lbs-excavators	3.371	1649	22960	36435
Kub	U55-5	2022	2022.3	121	1	1			1	1	1	5	48	5391	102000	94785	94785	-7215	-7215	-7.1%	https://www.kijiji.ca/v-heavy-equipment-machinery/windsor-area-on/2022-kubota-u55-5-excavator/1618285655	4.455	2179	30342	37557
Bob	E50	2020	2022.4	685		1				2	1	5	50	4864	109000	100478	91134	-8522	-17866	-7.8%	https://www.kijiji.ca/v-heavy-equipment-machinery/kitchener-waterloo/2020-bobcat-e50-excavator/1620246261?cid=7fbef2e3-306a-4e5d-9dfd-488527a1dde7	4.283	2095	29173	37695
Cat	308E2	2014	2022.4	7000		1				1	1	4.5	65	8400	98000	82979	75262	-15021	-22738	-15.3%	https://www.kijiji.ca/v-equipement-agricole/ville-de-montreal/caterpillar-308e2-cr-excavator-metal-tracks-pelle-excavatrice/1620379588	3.537	1730	24092	39113
Bob	E85	2020	2022.5	650		1			1	1	1	5	66	8626	135000	133407	121001	-1593	-13999	-1.2%	https://www.kijiji.ca/v-heavy-equipment-machinery/cambridge/2020-bobcat-e85-mini-x-excavator-fully-loaded/1621519416?cid=9267c8c9-5f90-4414-a6d7-ea7994397eb1	5.687	2782	38734	40326
Hit	ZX75US-3	2012	2022.6	6000		1			1	2	1	4	57	8265	94500	76310	69213	-18190	-25287	-19.2%	https://www.kijiji.ca/v-heavy-equipment-machinery/kamloops/zx75us-3-hitachi-excavator-very-clean-and-tight-w-hoepac/1623398315	3.253	1591	22156	40346
Tak	TB180FRC	2014	2022.3	2958	1	1			1	2	1	4	60	8409	96520	81792	81792	-14728	-14728	-15.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/city-of-toronto/2014-takeuchi-tb180frc-_-excavator-10ton-_-special-sale/1613611333	3.844	1881	26182	40911
Kub	KX080-4	2013	2022.4	1694		1			1	4	1	4	67	8280	110000	96524	87548	-13476	-22452	-12.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/red-deer/2013-kubota-kx-080-4-reduced-to-110-000-obo/1617426697	4.115	2013	28025	41501
Kub	KX040-4	2013	2022.4	1800		1			1	4	1	4.5	42	4490	95000	75218	68223	-19782	-26777	-20.8%	https://www.kijiji.ca/v-heavy-equipment-machinery/north-bay/2013-kubota-excavator-kx040-4/1620096822?cid=9267c8c9-5f90-4414-a6d7-ea7994397eb1	3.206	1569	21839	41621
YM	Vio 55A	2018	2022.5	2800	1				1	1		3.5	48	5386	75574	47620	47620	-27954	-27954	-37.0%	https://www.machinerytrader.com/listing/for-sale/203408933/2018-yanmar-vio55-6a-mini-up-to-12000-lbs-excavators	2.238	1095	15244	43198
Bob	E50	2013	2022.4	669	1	1			1	2	1	4	50	4864	89500	67909	67909	-21591	-21591	-24.1%	https://www.kijiji.ca/v-heavy-equipment-machinery/oshawa-durham-region/bobcat-e50-excavator/1609776146	3.192	1561	21739	43329
Hit	ZX75US-5	2015	2022.4	2603	1	1	1		1	2	1	5	57	8265	109000	92853	92853	-16147	-16147	-14.8%	https://www.kijiji.ca/v-heavy-equipment-machinery/parksville-qualicum-beach/hitachi-zx75us-5-excavator/1588513756	4.364	2135	29723	45870
Cat	306	2021	2022.5	125		1				1	1	5	47	5818	147999	115115	104409	-32884	-43590	-22.2%	https://www.kijiji.ca/v-heavy-equipment-machinery/owen-sound/cat-306/1619879611	4.907	2401	33423	66307
